geom,nombre,empresa,tipo_yacim,estado,mineral_pr,geojson
0104000020E6100000010000000101000000B81E85EB516851C03D0AD7A3707D3CC0,Filo del Sol,FILO DEL SOL EXPLORACION S.A.,,Prefactibilidad,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-69.63,-28.49]]}"
0104000020E61000000100000001010000005C8FC2F5285C51C01F85EB51B81E40C0,San Jorge,MINERA SAN JORGE S.A.,,Prefactibilidad,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-69.44,-32.24]]}"
0104000020E61000000100000001010000001F85EB51B8BE50C01F85EB51B81E38C0,Rincón,Pepinnini Lithium Limited,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.98,-24.12]]}"
0104000020E6100000010000000101000000EC51B81E85FB50C00AD7A3703D4A38C0,Pular,Pepinnini Lithium Limited,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.93,-24.29]]}"
0104000020E6100000010000000101000000713D0AD7A3C050C048E17A14AE0739C0,Gallego,Everlight Resources,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.01,-25.03]]}"
0104000020E61000000100000001010000009A999999990951C05C8FC2F5281C39C0,Rio Grande,Regulus Argentina S.A,,Exploración avanzada,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-68.15,-25.11]]}"
0104000020E6100000010000000101000000CDCCCCCCCCBC50C0B81E85EB513839C0,Sal de Oro,POSCO ARGENTINA S.A,,Exploración avanzada,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.95,-25.22]]}"
0104000020E610000001000000010100000014AE47E17AC450C0B81E85EB513839C0,Salar del Hombre Muerto Norte,NRG Metals Inc.,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-67.07,-25.22]]}"
0104000020E6100000010000000101000000EC51B81E857B50C05C8FC2F5289C39C0,Don Otto,CNEA,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-65.93,-25.61]]}"
0104000020E6100000010000000101000000713D0AD7A3B050C03D0AD7A3703D39C0,Sal de Los Ángeles,POTASIO Y LITIO DE ARGENTINA S.A.,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.76,-25.24]]}"
0104000020E6100000010000000101000000C3F5285C8FB250C085EB51B81E4539C0,Diablillos,PACIFIC RIM MINING CORPORATION ARGENTINA S.A.,,Evaluación económica preliminar,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-66.79,-25.27]]}"
0104000020E6100000010000000101000000AE47E17A148E51C09A99999999193FC0,Los Azules,MINERA ANDES S.A.,,Evaluación económica preliminar,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-70.22,-31.1]]}"
0104000020E61000000100000001010000003B014D840DEF50C05227A089B09138C0,Taca Taca,CORRIENTE ARGENTINA S.A.,,Evaluación económica preliminar,Cobre,"{""type"":""MultiPoint"",""coordinates"":[[-67.7352,-24.5691]]}"
0104000020E6100000010000000101000000D7A3703D0A7751C0713D0AD7A3303DC0,Taguas,COMPAÑIA MINERA PIUQUENES S.A.,,Evaluación económica preliminar,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.86,-29.19]]}"
0104000020E610000001000000010100000052B81E85EBA150C0F6285C8FC2B536C0,Puna Operation,Puna Operations Inc,,Producción,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-66.53,-22.71]]}"
0104000020E610000001000000010100000066666666669650C052B81E85EB9136C0,Ajedrez,Espiritu de Los Andes S.A,,Producción,Au aluvional,"{""type"":""MultiPoint"",""coordinates"":[[-66.35,-22.57]]}"
0104000020E6100000010000000101000000F6285C8FC29550C0AE47E17A146E36C0,Córdoba,Gasmarra Mineria S.A,,Construcción,Au aluvional,"{""type"":""MultiPoint"",""coordinates"":[[-66.34,-22.43]]}"
0104000020E61000000100000001010000003333333333B350C0C3F5285C8F4237C0,Providencia,Canepa Humberto Julio,,Factibilidad,Plata,"{""type"":""MultiPoint"",""coordinates"":[[-66.8,-23.26]]}"
0104000020E61000000100000001010000000AD7A3703D4A51C014AE47E17A5448C0,Claudia,MINERA DEL SOL S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.16,-48.66]]}"
0104000020E610000001000000010100000048E17A14AE1751C0E17A14AE472142C0,Don Sixto,COGNITO LIMITED - SUCURSAL ARGENTINA,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-68.37,-36.26]]}"
0104000020E6100000010000000101000000D7A3703D0A5751C0E17A14AE47A142C0,Potasio,BUNGE Y SERVICIOS DE MINERÍA,,Exploración avanzada,Potasio,"{""type"":""MultiPoint"",""coordinates"":[[-69.36,-37.26]]}"
0104000020E61000000100000001010000003333333333B350C0D7A3703D0AF743C0,Amarillo Grande,MINERA CIELO AZUL S.A.,,Evaluación económica preliminar,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-66.8,-39.93]]}"
0104000020E610000001000000010100000066666666662651C014AE47E17A5441C0,Sierra Pintada,CNEA,,Exploración avanzada,Uranio,"{""type"":""MultiPoint"",""coordinates"":[[-68.6,-34.66]]}"
0104000020E61000000100000001010000009A999999996951C08FC2F5285CCF3DC0,Jagüelito,MEXPLORT PERFORACIONES MINERAS S.A.,,Exploración avanzada,Oro,"{""type"":""MultiPoint"",""coordinates"":[[-69.65,-29.81]]}"
0104000020E61000000100000001010000001F85EB51B8BE50C01F85EB51B81E38C0,Salar del Rincón - Argosy,Puna Mining S.A.,,Evaluación económica preliminar,Litio,"{""type"":""MultiPoint"",""coordinates"":[[-66.98,-24.12]]}"
